"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"LABEL";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"SPICEMODEL";"SPICEPREFIX";"VALUE";
"3";"";"B3B-PH-K";"B3B-PH-K";"NEO_2A1, POT1, POT2";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0.1 uF";"C-USC0805";"C0805";"C3, C7";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";
"1";"0.1uF";"C-USC0805";"C0805";"C5";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";
"10";"0.1uf";"C-USC0805K";"C0805K";"CN1, CN2, CN3, CN4, CN5, CN6, CN7, CN8, CN9, CN10";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1 mF";"CPOL-USUD-10X10";"UD-10X10_NICHICON";"C1";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"1";"";"";"C";"";
"1";"10 R";"R-US_R0805";"R0805";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10 uF";"C-USC0805";"C0805";"C8, C9";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"63";"";"";"C";"";
"2";"10k";"R-US_R0805";"R0805";"R12, R14";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";
"2";"1N4004";"DIODE_E-DO35-7";"DIODE_DO35-7";"D1, D4";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";"diode";"D";"";
"2";"1k";"R-US_R0805";"R0805";"R1, R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";
"1";"300 R";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"33uf";"DIP-ALUMINUM-47UF-16V(D5-H7MM)";"PC-D5.3MM";"C2";"302030033";"";"";"";"";"";"KS 100uF/16V";"";"";"";"";"";"";"";"100uf";
"2";"4.7k";"R-US_R0805";"R0805";"R10, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"85";"";"";"R";"";
"4";"5566-2";"5566-2";"5566-2";"12V_IN, M1, SOL1, SOL2";"Mini FIT connector 2 pol";"";"";"";"MOLEX";"";"";"1822072";"unknown";"";"";"";"";"";"";
"1";"B10B-PH-K";"B10B-PH-K";"B10B-PH-K";"P1";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"B2B-PH-K";"B2B-PH-K";"B2B-PH-K";"BUT1, BUT2, PWR";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"B4B-PH-K";"B4B-PH-K";"B4B-PH-K";"P2";"HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JUMPER-SMT_3_1-NC_TRACE_SILK";"JUMPER-SMT_3_1-NC_TRACE_SILK";"SMT-JUMPER_3_1-NC_TRACE_SILK";"JP1";"Normally closed trace jumper (1 of 2 connections)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"PNO8L07";"IRF540";"TO220BV";"Q1, Q2";"HEXFET Power MOSFET";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";
"1";"POLOLU_MAX14870";"POLOLU_MAX14870";"POLOLU_MAX14870";"MOT1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"S9V11F5S6CMA_NO_SEL";"S9V11F5S6CMA_NO_SEL";"S9V11F3S5CMA_NO_SEL";"PWR_REG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SHTC3";"SHTC3";"SHTC3";"U2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TEENSY_3.1-3.2_DIL";"TEENSY_3.1-3.2_DIL";"TEENSY_3.0-3.2&LC_DIL";"U$1";"Teensy 3.1 or 3.2 in a DIL Layout.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"VEML6030";"VEML6030-GS15";"VISHAY_VEML6030_2X2X0.87";"VMEL1, VMEL2";"VEML6030";"Unavailable";" Optical Sensor Ambient 550nm IÂ²C 6-SMD, No Lead  ";"";"Vishay Semiconductor";"VEML6030-GS15";"";"";"";"SMD-6 Vishay";"";"None";"";"";"";
"10";"WS2812B5050";"WS2812B5050";"WS2812B";"NEO1, NEO2, NEO3, NEO4, NEO5, NEO6, NEO7, NEO8, NEO9, NEO10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
